timestamp,value
2004-01,37
2004-02,39
2004-03,38
2004-04,44
2004-05,54
2004-06,57
2004-07,68
2004-08,62
2004-09,42
2004-10,34
2004-11,32
2004-12,31
2005-01,37
2005-02,38
2005-03,39
2005-04,38
2005-05,48
2005-06,58
2005-07,63
2005-08,57
2005-09,38
2005-10,31
2005-11,29
2005-12,30
2006-01,35
2006-02,34
2006-03,34
2006-04,38
2006-05,44
2006-06,53
2006-07,61
2006-08,51
2006-09,34
2006-10,30
2006-11,27
2006-12,28
2007-01,33
2007-02,31
2007-03,33
2007-04,35
2007-05,41
2007-06,49
2007-07,58
2007-08,54
2007-09,36
2007-10,31
2007-11,38
2007-12,34
2008-01,40
2008-02,39
2008-03,41
2008-04,43
2008-05,45
2008-06,57
2008-07,62
2008-08,53
2008-09,39
2008-10,39
2008-11,50
2008-12,44
2009-01,51
2009-02,48
2009-03,52
2009-04,48
2009-05,55
2009-06,64
2009-07,71
2009-08,70
2009-09,53
2009-10,42
2009-11,63
2009-12,53
2010-01,56
2010-02,53
2010-03,51
2010-04,51
2010-05,57
2010-06,63
2010-07,68
2010-08,67
2010-09,50
2010-10,43
2010-11,73
2010-12,54
2011-01,58
2011-02,55
2011-03,49
2011-04,51
2011-05,56
2011-06,65
2011-07,72
2011-08,70
2011-09,49
2011-10,41
2011-11,56
2011-12,44
2012-01,45
2012-02,44
2012-03,43
2012-04,45
2012-05,48
2012-06,56
2012-07,69
2012-08,61
2012-09,42
2012-10,36
2012-11,46
2012-12,41
2013-01,44
2013-02,44
2013-03,41
2013-04,45
2013-05,51
2013-06,55
2013-07,67
2013-08,68
2013-09,46
2013-10,44
2013-11,92
2013-12,59
2014-01,61
2014-02,53
2014-03,56
2014-04,51
2014-05,56
2014-06,60
2014-07,67
2014-08,64
2014-09,46
2014-10,43
2014-11,63
2014-12,46
2015-01,51
2015-02,46
2015-03,50
2015-04,48
2015-05,50
2015-06,56
2015-07,62
2015-08,62
2015-09,42
2015-10,36
2015-11,46
2015-12,42
2016-01,45
2016-02,47
2016-03,46
2016-04,46
2016-05,53
2016-06,55
2016-07,61
2016-08,56
2016-09,45
2016-10,39
2016-11,43
2016-12,37
2017-01,37
2017-02,38
2017-03,39
2017-04,46
2017-05,47
2017-06,52
2017-07,61
2017-08,60
2017-09,43
2017-10,38
2017-11,100
2017-12,63
2018-01,56
2018-02,47
2018-03,47
2018-04,43
2018-05,45
2018-06,51
2018-07,57
2018-08,57
2018-09,47
2018-10,49
2018-11,38
2018-12,36
2019-01,37
2019-02,35
2019-03,38
2019-04,37
2019-05,41
2019-06,49
2019-07,61
2019-08,54
2019-09,45
2019-10,58
2019-11,55
2019-12,49
2020-01,48
2020-02,50
2020-03,69
2020-04,83
2020-05,79
2020-06,83
2020-07,82
2020-08,92
2020-09,70
2020-10,65
2020-11,75
2020-12,65
